Algorithm,Resolution,Map,Agents,Total Time,Number Solved Scenarios,Average Time
CBS,2,ht_mansion_n,2,43.69172499999999,19,2.2995644736842102
CBS,2,ht_mansion_n,4,60.26333000000001,19,3.1717542105263163
CBS,2,ht_mansion_n,6,133.26388400000002,18,7.403549111111112
CBS,2,ht_mansion_n,8,178.69139999999996,17,10.51125882352941
CBS,2,ht_mansion_n,10,231.83007000000003,16,14.489379375000002
CBS,2,ht_mansion_n,12,307.64025999999996,16,19.227516249999997
CBS,2,ht_mansion_n,14,253.45580999999999,13,19.496600769230767
CBS,2,ht_mansion_n,16,236.78101,11,21.525546363636366
CBS,2,ht_mansion_n,18,208.72656,8,26.09082
CBS,2,ht_mansion_n,20,194.80231,7,27.82890142857143
CBS,2,ht_mansion_n,22,217.32477,7,31.046395714285715
CBS,2,ht_mansion_n,24,166.91430999999997,5,33.382861999999996
CBS,2,ht_mansion_n,26,147.12608,4,36.78152
CBS,2,ht_mansion_n,28,147.7914,3,49.2638
CBS,2,lak303d,2,249.97437299999999,16,15.623398312499999
CBS,2,lak303d,4,235.85233699999998,11,21.441121545454543
CBS,2,lak303d,6,189.79162000000002,7,27.113088571428573
CBS,2,lak303d,8,127.8408,4,31.9602
CBS,2,lak303d,10,107.2629,3,35.7543
CBS,2,lak303d,12,59.6011,1,59.6011
CBS,2,lt_gallowstemplar_n,2,27.295655,20,1.36478275
CBS,2,lt_gallowstemplar_n,4,39.836029999999994,20,1.9918014999999998
CBS,2,lt_gallowstemplar_n,6,68.471952,19,3.603786947368421
CBS,2,lt_gallowstemplar_n,8,134.11978,18,7.451098888888889
CBS,2,lt_gallowstemplar_n,10,228.785152,17,13.457950117647059
CBS,2,lt_gallowstemplar_n,12,189.62240000000003,14,13.544457142857144
CBS,2,lt_gallowstemplar_n,14,164.47756,9,18.275284444444445
CBS,2,lt_gallowstemplar_n,16,162.09706,8,20.2621325
CBS,2,lt_gallowstemplar_n,18,94.90916999999999,4,23.727292499999997
CBS,2,lt_gallowstemplar_n,20,104.87559999999999,3,34.95853333333333
CBS,2,lt_gallowstemplar_n,22,69.489,2,34.7445
CBS,2,lt_gallowstemplar_n,24,44.0242,1,44.0242
CBS,2,den312d,2,3.1800079999999995,20,0.1590004
